Nombre;Direccion;Provincia;CAN_DESCRIPCION;Parroquia;Nivel;TUN_DESCRIPCION;Institucion;x;y;servicios;planes_aceptados;costo_consulta
CENTRO DE ADOLESCENTES INFRACTORES - CAI FEMENINO GUAYAQUIL;KM. 6 1/2 VÍA A LA COSTA SN Y SN;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD EN CENTROS DE PRIVACION DE LIBERTAD;SNAI;-79,9438;-2,176956;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados SNAI);35
CENTRO DE PRIVACION DE LIBERTAD GUAYAS Nº 1;SN;GUAYAS;GUAYAQUIL;PASCUALES;NIVEL 1;CENTRO DE SALUD EN CENTROS DE PRIVACION DE LIBERTAD;SNAI;-79,945219;-2,047212;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados SNAI);42
CENTRO DE REHABILITACION SOCIAL MASCULINO GUAYAS Nº 4;LA GERMANIA 001 Y C32N;GUAYAS;GUAYAQUIL;PASCUALES;NIVEL 1;CENTRO DE SALUD EN CENTROS DE PRIVACION DE LIBERTAD;SNAI;-79,943103;-2,047212;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados SNAI);25
CENTRO DE SALUD TIPO A ESANGU;AV. DE LAS AMERICAS S/N;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;FUERZAS ARMADAS;-79,88976635;-2,163305001;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados FUERZAS ARMADAS);35
CENTRO ESPECIALIZADO EN REHABILITACION INTEGRAL NO2 GUAYAQUIL;AV.25 DE JULIO 2403 Y DANIEL CAMBONI;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 3;CENTRO ESPECIALIZADO EN REHABILITACION INTEGRAL;MSP;-79,899499;-2,267335;UCI, Especialidades Médicas, Cirugía Completa, Diagnóstico Avanzado, Oncología, Endocrinología, Trasplante de órganos;Público (Gratuito para afiliados MSP);324
DISPENSARIO LA CONCORDIA;.;GUAYAS;GUAYAQUIL;PUNA;NIVEL 1;PUESTO DE SALUD;IESS;-79,9145283;-2,776165805;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados IESS);42
CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) - EFREN JURADO LÓPEZ;ARGENTINA 100 Y ELOY ALFARO;GUAYAS;GUAYAQUIL;AYACUCHO;NIVEL 2;HOSPITAL DEL DIA;IESS;-79,8847;-2,2087;Urgencias, Hospitalización, Cirugía Básica, Pediatría, Anestesiología, Ecografía, Rayos X;Público (Gratuito para afiliados IESS);97
DIRECCION DE SANIDAD DE LA ARMADA;AV. 25 DE JULIO S/N;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;PUESTO DE SALUD;FUERZAS ARMADAS;-79,8936736;-2,2166266;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados FUERZAS ARMADAS);44
CENTRO DE PRIVACION DE LIBERTAD GUAYAS Nº 5;VIA A DAULE KM16;GUAYAS;GUAYAQUIL;PASCUALES;NIVEL 1;CENTRO DE SALUD EN CENTROS DE PRIVACION DE LIBERTAD;SNAI;-79,943103;-2,047212;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados SNAI);33
HOSPITAL GENERAL GUASMO SUR;AV. CACIQUE TOMALA NUMERO: S/N INTERSECCION: 1ER PASAJE 11B SE;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 2;HOSPITAL GENERAL;MSP;-79,89533;-2,276701;Urgencias, Hospitalización, Cirugía Básica, Pediatría, Anestesiología, Ecografía, Rayos X;Público (Gratuito para afiliados MSP);142
EL HOGAR LA ESPERANZA NRO. 2 GUAYAS;CALLE 21 NE S/N ATRÁS DE LA IGLESIA MERCEDES DE JESUS MOLINA;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 3;CENTRO ESPECIALIZADO EN GERIATRIA;FUERZAS ARMADAS;-79,8991187;-2,10861;UCI, Especialidades Médicas, Cirugía Completa, Diagnóstico Avanzado, Oncología, Endocrinología, Trasplante de órganos;Público (Gratuito para afiliados FUERZAS ARMADAS);509
CENTRO DE SALUD PUERTAS DEL SOL;KM 8.5 VIA A LA COSTA SOLAR 38 Y CALLE 5 S O;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,96146288;-2,191366821;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);32
SOCIO VIVIENDA 2;20MO CALLEJON SOLAR 1 Y IGLESIA ADVENTISTA LOMAS DE FLORIDA;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,962373;-2,134488;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);40
INSTITUTO OCEANOGRAFICO DE LA ARMADA;AV. 25 DE JULIO LA BASE NAVAL SUR;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CONSULTORIO GENERAL;FUERZAS ARMADAS;-79,9062037;-2,2716536;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados FUERZAS ARMADAS);38
UNIDAD EDUCATIVA DE FUERZAS ARMADAS LICEO NAVAL GUAYAQUIL COMANDANTE RAFAEL ANDRADE LALAMA;AV. PEDRO MENENDEZ GILBERT JUNTO AL PUENTE DE LA UNIDAD NACIONAL (BASNOR);GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CONSULTORIO GENERAL DE MEDICINA GENERAL;FUERZAS ARMADAS;-79,877667;-2,157475;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados FUERZAS ARMADAS);32
HOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS;AV. DEL BOMBERO KM. 6.5 A 200 MTS DE MADESA;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 2;HOSPITAL GENERAL;IESS;-79,939648;-2,175955;Urgencias, Hospitalización, Cirugía Básica, Pediatría, Anestesiología, Ecografía, Rayos X;Público (Gratuito para afiliados IESS);96
CENTRO ESPECIALIZADO EN TRATAMIENTO A PERSONAS CON CONSUMO PROBLEMATICO DE ALCOHOL Y OTRAS DROGAS (CETAD) - LOS LIBERTADORES;VIA A LA COSTA KM 6 Y MEDIO;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 3;CENTRO ESPECIALIZADO EN CETAD;MSP;-79,944443;-2,177791;UCI, Especialidades Médicas, Cirugía Completa, Diagnóstico Avanzado, Oncología, Endocrinología, Trasplante de órganos;Público (Gratuito para afiliados MSP);447
CIUDAD VICTORIA;27 NO SOLAR 49 Y 26 NO;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD C;MSP;-79,991556;-2,086028;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);30
HOSPITAL GENERAL MONTE SINAI;AV. CASUARINA S/N Y UNIDAD DEL MILENIO;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 2;HOSPITAL GENERAL;MSP;-80,002087;-2,125887;Urgencias, Hospitalización, Cirugía Básica, Pediatría, Anestesiología, Ecografía, Rayos X;Público (Gratuito para afiliados MSP);122
CENTRO DE SALUD TIPO C SAN FRANCISCO DE TENGUEL;VICTOR HUGO FLORES 00 Y VICTOR HUGO FLORES;GUAYAS;GUAYAQUIL;TENGUEL;NIVEL 1;CENTRO DE SALUD C;MSP;-79,79016913;-2,996920354;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);41
CUERPO DE INGENIEROS DEL EJERCITO;VIA DAULE KM 8 1/2;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CONSULTORIO GENERAL;FUERZAS ARMADAS;-79,92919;-2,1138869;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados FUERZAS ARMADAS);35
CAJA DEL SEGURO;AV.OLMEDO 415 Y CALIXTO ROMERO;GUAYAS;GUAYAQUIL;OLMEDO;NIVEL 1;CENTRO DE SALUD A;IESS;-79,88196;-2,1973;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados IESS);36
INSTITUTO OCEANOGRÁFICO Y ANTÁRTICO DE LA ARMADA;AV. 25 DE JULIO 2601 Y VIA PUERTO MARITIMO;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CONSULTORIO GENERAL DE MEDICINA GENERAL;FUERZAS ARMADAS;-79,904002;-2,271563;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados FUERZAS ARMADAS);36
CENTRO DE SALUD NUEVA PROSPERINA;CALLE 21 3 Y AV 63;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;CENTRO DE SALUD A;MSP;-79,970181;-2,122745;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);39
HOSPITAL MUNICIPAL BICENTENARIO DE GUAYAQUIL;Calle Pedro Pablo Gómez y Av. 6 de Marzo Guayaquil 090311.;GUAYAS;GUAYAQUIL;OLMEDO;NIVEL 1;;Municipalidad de Guayaquil;;;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Privado (Oro, Plata, Bronce, Mediken, Saludsa);64
Luis Vernaza Hospital;Loja 700 Guayaquil 090313.;GUAYAS;GUAYAQUIL;ROCAFUERTE;NIVEL 2;;Junta de Beneficencia de Guayaquil;;;Urgencias, Hospitalización, Cirugía Básica, Pediatría, Anestesiología, Ecografía, Rayos X;Privado (Oro, Plata, Bronce, Mediken, Saludsa);186
Hospital León Becerra de Guayaquil;Eloy Alfaro 2402 Guayaquil 090101.;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;;Sociedad Protectora de la Infancia;;;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Privado (Oro, Plata, Bronce, Mediken, Saludsa);40
Alfredo G. Paulson Hospital;Calle 11 Ciudadela Atarazana Guayaquil 090514.;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;;Junta de Beneficencia de Guayaquil;;;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Privado (Oro, Plata, Bronce, Mediken, Saludsa);51
Omnihospital;Av. Juan TAnca Marengo y Calle 13E NE Guayaquil 090513.;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 3;;Privado;;;UCI, Especialidades Médicas, Cirugía Completa, Diagnóstico Avanzado, Oncología, Endocrinología, Trasplante de órganos;Privado (Oro, Plata, Bronce, Mediken, Saludsa);592
Hospital Clínica Panamericana;Panamá 616 y Roca Guayaquil 090313.;GUAYAS;GUAYAQUIL;ROCAFUERTE;NIVEL 2;;Privado;;;Urgencias, Hospitalización, Cirugía Básica, Pediatría, Anestesiología, Ecografía, Rayos X;Privado (Oro, Plata, Bronce, Mediken, Saludsa);225
Hospital de Especialidades de La Ciudad;Av. 25 de Julio Guayaquil 090203.;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 3;;Municipalidad de Guayaquil;;;UCI, Especialidades Médicas, Cirugía Completa, Diagnóstico Avanzado, Oncología, Endocrinología, Trasplante de órganos;Privado (Oro, Plata, Bronce, Mediken, Saludsa);489
Hospital Alcívar;Coronel 2301 y Cañar Guayaquil 090101.;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;;Privado;;;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Privado (Oro, Plata, Bronce, Mediken, Saludsa);54
Hospital Clínica Kennedy Alborada;Av. Rodolfo Baquerizo Nazur y Demetrio Aguilera Malta Guayaquil 090501.;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;;Privado;;;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Privado (Oro, Plata, Bronce, Mediken, Saludsa);51
Hospital Clínica Kennedy Samborondón;Av. Samborondón km 1.5 Samborondón 092301.;GUAYAS;GUAYAQUIL;LA PUNTILLA;NIVEL 1;;Privado;;;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Privado (Oro, Plata, Bronce, Mediken, Saludsa);63
Hospital Roberto Gilbert Elizalde;Av. Rodolfo Baquerizo Nazur y Calle Crotos Guayaquil 090501.;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;;Junta de Beneficencia de Guayaquil;;;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Privado (Oro, Plata, Bronce, Mediken, Saludsa);67
Hospital de la Mujer;Av. Roberto Gilbert y Nicasio Safadi Ciudadela Atarazana Guayaquil 090514.;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 1;;Junta de Beneficencia de Guayaquil;;;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Privado (Oro, Plata, Bronce, Mediken, Saludsa);52
Clínica Guayaquil;Padre Aguirre 401 y General Córdova Guayaquil 090313.;GUAYAS;GUAYAQUIL;ROCAFUERTE;NIVEL 3;;Privado;;;UCI, Especialidades Médicas, Cirugía Completa, Diagnóstico Avanzado, Oncología, Endocrinología, Trasplante de órganos;Privado (Oro, Plata, Bronce, Mediken, Saludsa);715
Clínica San Francisco;Alejandro Andrade Coello (detrás del Policentro) Guayaquil 090512.;GUAYAS;GUAYAQUIL;TARQUI;NIVEL 2;;Privado;;;Urgencias, Hospitalización, Cirugía Básica, Pediatría, Anestesiología, Ecografía, Rayos X;Privado (Oro, Plata, Bronce, Mediken, Saludsa);186
